x_px,y_px,H_star,B_star,U_H_V,U_B_V
63.0,113.0,-0.37623762376237624,-0.13,-0.30099009900990104,-0.010400000000000001
134.0,113.0,0.32673267326732675,-0.13,0.2613861386138614,-0.010400000000000001
62.0,114.0,-0.38613861386138615,-0.14,-0.30891089108910896,-0.011200000000000002
134.0,114.0,0.32673267326732675,-0.14,0.2613861386138614,-0.011200000000000002
62.0,115.0,-0.38613861386138615,-0.15,-0.30891089108910896,-0.012
63.0,115.0,-0.37623762376237624,-0.15,-0.30099009900990104,-0.012
134.0,115.0,0.32673267326732675,-0.15,0.2613861386138614,-0.012
63.0,116.0,-0.37623762376237624,-0.16,-0.30099009900990104,-0.0128
133.0,116.0,0.31683168316831684,-0.16,0.25346534653465347,-0.0128
62.0,117.0,-0.38613861386138615,-0.17,-0.30891089108910896,-0.013600000000000001
134.0,117.0,0.32673267326732675,-0.17,0.2613861386138614,-0.013600000000000001
61.0,118.0,-0.39603960396039606,-0.18,-0.3168316831683169,-0.0144
133.0,118.0,0.31683168316831684,-0.18,0.25346534653465347,-0.0144
61.0,119.0,-0.39603960396039606,-0.19,-0.3168316831683169,-0.0152
62.0,119.0,-0.38613861386138615,-0.19,-0.30891089108910896,-0.0152
131.0,119.0,0.297029702970297,-0.19,0.2376237623762376,-0.0152
132.0,119.0,0.3069306930693069,-0.19,0.24554455445544554,-0.0152
61.0,120.0,-0.39603960396039606,-0.2,-0.3168316831683169,-0.016
62.0,120.0,-0.38613861386138615,-0.2,-0.30891089108910896,-0.016
131.0,120.0,0.297029702970297,-0.2,0.2376237623762376,-0.016
132.0,120.0,0.3069306930693069,-0.2,0.24554455445544554,-0.016
62.0,121.0,-0.38613861386138615,-0.21,-0.30891089108910896,-0.0168
131.0,121.0,0.297029702970297,-0.21,0.2376237623762376,-0.0168
132.0,121.0,0.3069306930693069,-0.21,0.24554455445544554,-0.0168
61.0,122.0,-0.39603960396039606,-0.22,-0.3168316831683169,-0.0176
131.0,122.0,0.297029702970297,-0.22,0.2376237623762376,-0.0176
132.0,122.0,0.3069306930693069,-0.22,0.24554455445544554,-0.0176
60.0,123.0,-0.40594059405940597,-0.23,-0.3247524752475248,-0.0184
62.0,123.0,-0.38613861386138615,-0.23,-0.30891089108910896,-0.0184
130.0,123.0,0.2871287128712871,-0.23,0.22970297029702968,-0.0184
133.0,123.0,0.31683168316831684,-0.23,0.25346534653465347,-0.0184
129.0,124.0,0.27722772277227725,-0.24,0.2217821782178218,-0.0192
59.0,125.0,-0.4158415841584158,-0.25,-0.3326732673267327,-0.02
129.0,125.0,0.27722772277227725,-0.25,0.2217821782178218,-0.02
130.0,125.0,0.2871287128712871,-0.25,0.22970297029702968,-0.02
58.0,126.0,-0.42574257425742573,-0.26,-0.3405940594059406,-0.020800000000000003
